ID#age#job#marital#education#default#balance#housing#loan#contact#day#month#campaign#pdays#previous#poutcome#y
9750#35,0#management#married#tertiary#no#2308,0#no#yes#unknown#9#jun#1,0#-1,0#0#unknown#no
36158#55,0#services#married#secondary#no#761,0#yes#no#telephone#11#may#1,0#-1,0#0#unknown#no
28002#46,0#technician#divorced#tertiary#no#0,0#no#no#cellular#28#jan#2,0#-1,0#0#unknown#yes
31110#29,0#services#married#secondary#no#1135,0#yes#no#cellular#17#feb#1,0#-1,0#0#unknown#yes
28820##management#married#tertiary#no#-70,0#yes#no#cellular#30#jan#1,0#2,0#3#other#no
24284##admin.#married#secondary#no#0,0#yes#no#cellular#17#nov#1,0#-1,0#0#unknown#no
11775#40,0#technician#married#secondary#no#109,0#no#no#unknown#20#jun#22,0#-1,0#0#unknown#no
35153#35,0#technician#divorced#secondary#no#2777,0#yes#no#cellular#7#may#1,0#-1,0#0#unknown#no
10006#58,0#retired#divorced#primary#no#593,0#no#yes#unknown#9#jun#2,0#-1,0#0#unknown#no
31539#35,0#admin.#single#secondary#no#663,0#yes#no#cellular#2#apr#3,0#-1,0#0#unknown#no
13660#32,0#management#married#tertiary#no#794,0#yes#yes#cellular#9#jul#1,0#-1,0#0#unknown#yes
26374#30,0#technician#single#secondary#no#2153,0#no#no#telephone#20#nov#1,0#-1,0#0#unknown#no
33701#65,0#retired#married#tertiary#no#1973,0#no#no#telephone#21#apr#3,0#-1,0#0#unknown#yes
13094#33,0#entrepreneur#married#secondary#yes#-54,0#no#yes#cellular#8#jul#1,0#-1,0#0#unknown#no
122#51,0#blue-collar#married#secondary#no#26,0#yes#no#unknown#5#may#1,0#-1,0#0#unknown#no
41340#62,0#retired#married#secondary#no#13,0#no#no#telephone#28#aug#1,0#-1,0#0#unknown#no
15529##blue-collar#married#secondary#no#137,0#no#yes#cellular#18#jul#12,0#-1,0#0#unknown#no
14530#42,0#blue-collar#married#secondary#no#-145,0#yes#no#cellular#15#jul#3,0#-1,0#0#unknown#no
30043#53,0#blue-collar#divorced#primary#no#255,0#yes#no#cellular#4#feb#2,0#272,0#2#failure#no
3100#43,0#blue-collar#married#secondary#no#15740,0#yes#no#unknown#14#may#2,0#-1,0#0#unknown#no
35545#32,0#admin.#married#secondary#no#203,0#yes#yes#cellular#7#may#2,0#-1,0#0#unknown#no
29557#37,0#technician#married#secondary#no#1116,0#yes#no#cellular#3#feb#6,0#201,0#7#other#no
4123#47,0#admin.#married#secondary#no#292,0#yes#no#unknown#19#may#3,0#-1,0#0#unknown#no
10151#35,0#services#married#secondary#no#2135,0#no#no#unknown#11#jun#1,0#-1,0#0#unknown#no
41658#56,0#housemaid#divorced#secondary#no#1866,0#no#yes#cellular#1#oct#1,0#-1,0#0#unknown#no
19818#40,0#technician#married#secondary#no#581,0#yes#no#cellular#8#aug#2,0#-1,0#0#unknown#no
41979#70,0#retired#married#secondary#no#2815,0#no#no#cellular#26#oct#1,0#-1,0#0#unknown#no
44287#45,0#blue-collar#single#secondary#no#0,0#yes#no#cellular#26#jul#2,0#91,0#5#success#no
3819##blue-collar#single#secondary#no#1166,0#yes#no#unknown#16#may#1,0#-1,0#0#unknown#no
9795#41,0#housemaid#married#primary#no#884,0#no#no#unknown#9#jun#1,0#-1,0#0#unknown#no
13083#34,0#housemaid#married#secondary#no#-97,0#yes#yes#cellular#8#jul#2,0#-1,0#0#unknown#no
37339#37,0#blue-collar#married#secondary#no#198,0#yes#no#cellular#13#may#5,0#369,0#2#failure#no
42465#57,0#retired#divorced#primary#no#698,0#no#no#telephone#9#dec#3,0#191,0#2#failure#no
1740#30,0#blue-collar#married#secondary#no#-2,0#yes#no#unknown#9#may#2,0#-1,0#0#unknown#no
7612#36,0#blue-collar#single#secondary#no#366,0#yes#yes#unknown#30#may#2,0#-1,0#0#unknown#yes
4627#31,0#services#single#secondary#no#2038,0#yes#no#unknown#20#may#1,0#-1,0#0#unknown#no
16770#31,0#technician#married#tertiary#no#162,0#yes#no#cellular#24#jul#11,0#-1,0#0#unknown#no
24940##management#married#tertiary#no#318,0#no#no#cellular#18#nov#2,0#-1,0#0#unknown#no
14048#34,0#management#married#tertiary#no#161,0#yes#no#cellular#11#jul#1,0#-1,0#0#unknown#no
40436##management#single#tertiary#no#2983,0#yes#no#cellular#2#jul#1,0#-1,0#0#unknown#no
14975#29,0#admin.#single#secondary#no#454,0#no#no#telephone#16#jul#11,0#-1,0#0#unknown#no
25741#53,0#self-employed#married#tertiary#no#3711,0#no#no#cellular#19#nov#1,0#-1,0#0#unknown#no
34685#24,0#admin.#single#tertiary#no#805,0#yes#no#cellular#5#may#2,0#-1,0#0#unknown#no
10713#41,0#management#divorced#secondary#no#0,0#no#no#unknown#16#jun#3,0#-1,0#0#unknown#no
31241#62,0#management#married#secondary#no#4562,0#yes#no#cellular#3#mar#1,0#-1,0#0#unknown#yes
21991#46,0#management#married#tertiary#no#110,0#yes#yes#cellular#20#aug#5,0#-1,0#0#unknown#no
29970#51,0#blue-collar#married#primary#no#362,0#yes#no#cellular#4#feb#4,0#272,0#2#failure#no
18740#43,0#management#single#primary#yes#-39,0#yes#no#cellular#31#jul#23,0#-1,0#0#unknown#no
23661##technician#married#secondary#no#118,0#no#no#cellular#28#aug#20,0#-1,0#0#unknown#no
8548#43,0#admin.#married#secondary#no#429,0#yes#yes#unknown#3#jun#32,0#-1,0#0#unknown#no
14427#53,0#blue-collar#married#secondary#no#2231,0#yes#no#cellular#14#jul#3,0#-1,0#0#unknown#no
19124#46,0#services#married#primary#no#13118,0#no#no#cellular#5#aug#2,0#-1,0#0#unknown#no
1675#43,0#blue-collar#single#secondary#no#3,0#yes#no#unknown#9#may#3,0#-1,0#0#unknown#yes
4056#37,0#entrepreneur#single#secondary#no#654,0#no#no#unknown#19#may#2,0#-1,0#0#unknown#no
6071#32,0#technician#single#secondary#no#6471,0#yes#yes#unknown#26#may#4,0#-1,0#0#unknown#no
41305#31,0#management#single#tertiary#no#404,0#no#no#cellular#27#aug#7,0#-1,0#0#unknown#no
30059#30,0#admin.#single#tertiary#no#0,0#yes#no#cellular#4#feb#2,0#-1,0#0#unknown#yes
21476#48,0#technician#married#secondary#no#466,0#no#no#cellular#19#aug#7,0#-1,0#0#unknown#no
6389#32,0#services#single#secondary#no#38,0#yes#no#unknown#27#may#1,0#-1,0#0#unknown#no
25455#41,0#entrepreneur#married#tertiary#no#171,0#yes#no#cellular#19#nov#1,0#191,0#4#failure#no
13093#55,0#management#married#secondary#no#51,0#no#no#cellular#8#jul#1,0#-1,0#0#unknown#no
35696#31,0#unemployed#divorced#secondary#no#1144,0#yes#no#cellular#8#may#2,0#367,0#1#failure#no
35365#25,0#admin.#single#secondary#no#122,0#yes#no#cellular#7#may#2,0#-1,0#0#unknown#yes
19045#33,0#management#married#tertiary#no#679,0#no#no#cellular#5#aug#2,0#-1,0#0#unknown#yes
41798#46,0#management#married#tertiary#no#37378,0#yes#no#cellular#14#oct#1,0#518,0#1#failure#no
39004#26,0#blue-collar#married#secondary#no#1702,0#yes#yes#cellular#18#may#1,0#-1,0#0#unknown#no
33251#41,0#admin.#married#secondary#no#67,0#no#no#cellular#20#apr#2,0#150,0#2#failure#no
297#31,0#blue-collar#single#secondary#no#3,0#yes#no#unknown#5#may#2,0#-1,0#0#unknown#no
15792#25,0#admin.#single#secondary#no#105,0#no#yes#cellular#21#jul#1,0#-1,0#0#unknown#no
23792#37,0#management#married#tertiary#no#4293,0#yes#no#cellular#29#aug#2,0#-1,0#0#unknown#no
273#57,0#technician#married#secondary#no#1078,0#yes#no#unknown#5#may#4,0#-1,0#0#unknown#no
16040#44,0#technician#single#tertiary#no#342,0#yes#no#cellular#22#jul#1,0#-1,0#0#unknown#no
5221#29,0#admin.#married#secondary#no#265,0#yes#no#unknown#23#may#2,0#-1,0#0#unknown#no
39878#38,0#self-employed#married#tertiary#no#846,0#no#no#cellular#2#jun#1,0#-1,0#0#unknown#no
13486#43,0#management#divorced#tertiary#no#-410,0#no#yes#cellular#9#jul#1,0#-1,0#0#unknown#no
39524#37,0#unemployed#married#tertiary#no#7620,0#no#no#telephone#25#may#3,0#-1,0#0#unknown#no
31778#37,0#admin.#single#secondary#no#810,0#yes#no#cellular#8#apr#1,0#295,0#1#failure#no
36905#38,0#blue-collar#married#primary#no#481,0#yes#no#telephone#12#may#5,0#-1,0#0#unknown#no
43232#37,0#management#married#tertiary#no#6771,0#no#no#cellular#5#mar#1,0#-1,0#0#unknown#yes
5549#46,0#blue-collar#married#secondary#no#0,0#yes#no#unknown#23#may#3,0#-1,0#0#unknown#no
36431#44,0#admin.#single#secondary#no#-497,0#yes#no#cellular#11#may#2,0#370,0#2#failure#no
22594#38,0#housemaid#married#secondary#no#316,0#no#no#cellular#22#aug#4,0#-1,0#0#unknown#no
37486#30,0#blue-collar#single#primary#no#17,0#yes#no#cellular#13#may#3,0#-1,0#0#unknown#no
36067#36,0#technician#married#secondary#no#483,0#yes#no#cellular#11#may#1,0#304,0#2#failure#no
15954#40,0#entrepreneur#married#tertiary#no#121,0#yes#no#cellular#22#jul#1,0#-1,0#0#unknown#no
9413#46,0#technician#married#tertiary#no#0,0#no#no#unknown#6#jun#1,0#-1,0#0#unknown#no
43293##management#married#tertiary#no#1077,0#no#no#cellular#15#mar#1,0#96,0#1#failure#no
41974#44,0#management#divorced#tertiary#no#36,0#no#no#cellular#26#oct#2,0#153,0#3#failure#no
44838#35,0#management#single#tertiary#no#151,0#no#no#unknown#20#sep#1,0#850,0#2#failure#no
41725#60,0#retired#married#secondary#no#197,0#no#no#cellular#7#oct#1,0#-1,0#0#unknown#no
45000#63,0#management#married#tertiary#no#0,0#no#no#cellular#12#oct#2,0#182,0#6#failure#no
6295#28,0#student#single#tertiary#no#737,0#yes#no#unknown#27#may#1,0#-1,0#0#unknown#no
18823#50,0#unemployed#single#secondary#no#588,0#no#no#cellular#31#jul#3,0#-1,0#0#unknown#no
2351##technician#single#secondary#no#216,0#yes#no#unknown#13#may#1,0#-1,0#0#unknown#no
28968#47,0#technician#divorced#secondary#no#129,0#no#no#cellular#2#feb#2,0#222,0#2#failure#no
13063#42,0#management#divorced#secondary#no#-272,0#no#no#cellular#8#jul#1,0#-1,0#0#unknown#no
34264#44,0#admin.#married#secondary#no#10354,0#no#no#telephone#4#may#1,0#-1,0#0#unknown#no
30477#48,0#blue-collar#married#secondary#no#750,0#no#no#cellular#5#feb#2,0#8,0#2#other#no
23132#32,0#management#single#tertiary#no#631,0#no#no#cellular#26#aug#5,0#-1,0#0#unknown#no
20824#52,0#technician#divorced#secondary#no#152,0#no#no#cellular#13#aug#6,0#-1,0#0#unknown#yes
44305##admin.#divorced#secondary#no#1180,0#no#no#cellular#27#jul#2,0#181,0#4#success#no
23465#39,0#management#married#tertiary#no#45,0#no#no#cellular#28#aug#4,0#-1,0#0#unknown#no
29213##technician#single#secondary#no#257,0#yes#no#cellular#2#feb#2,0#-1,0#0#unknown#no
636#52,0#services#married#secondary#no#660,0#no#no#unknown#6#may#2,0#-1,0#0#unknown#no
11376#52,0#unemployed#divorced#tertiary#no#0,0#no#no#unknown#19#jun#1,0#-1,0#0#unknown#no
35107#34,0#management#single#tertiary#no#705,0#yes#no#cellular#6#may#3,0#-1,0#0#unknown#no
23185#35,0#technician#married#secondary#no#0,0#no#no#cellular#27#aug#14,0#-1,0#0#unknown#no
40014#42,0#technician#married#tertiary#no#15445,0#no#no#cellular#3#jun#2,0#-1,0#0#unknown#no
33620#51,0#management#married#secondary#no#563,0#yes#no#cellular#20#apr#6,0#-1,0#0#unknown#no
1218#32,0#blue-collar#single#secondary#no#5,0#yes#yes#unknown#8#may#1,0#-1,0#0#unknown#no
9366#35,0#management#single#secondary#no#0,0#no#no#unknown#6#jun#1,0#-1,0#0#unknown#no
42263#64,0#retired#married#secondary#no#2031,0#no#no#cellular#13#nov#5,0#-1,0#0#unknown#no
6028#45,0#blue-collar#married#secondary#no#-376,0#yes#no#unknown#26#may#4,0#-1,0#0#unknown#no
37848##technician#single#tertiary#no#0,0#yes#no#cellular#14#may#2,0#303,0#3#other#no
4948##admin.#married#secondary#no#8784,0#yes#no#unknown#21#may#2,0#-1,0#0#unknown#no
28282#37,0#services#married#secondary#no#1694,0#yes#yes#cellular#29#jan#2,0#251,0#6#failure#no
30887#31,0#self-employed#single#tertiary#no#1815,0#no#no#telephone#9#feb#1,0#-1,0#0#unknown#yes
15549#33,0#management#married#tertiary#no#255,0#yes#no#cellular#21#jul#2,0#-1,0#0#unknown#no
25085#43,0#technician#married#secondary#no#17655,0#yes#no#cellular#18#nov#1,0#-1,0#0#unknown#no
66#51,0#management#married#tertiary#no#6530,0#yes#no#unknown#5#may#1,0#-1,0#0#unknown#no
31087#28,0#self-employed#single#tertiary#no#805,0#no#no#cellular#16#feb#1,0#-1,0#0#unknown#yes
38266#32,0#blue-collar#single#secondary#no#2597,0#yes#no#cellular#15#may#1,0#368,0#1#failure#no
26773#47,0#unemployed#married#secondary#no#3533,0#yes#no#cellular#20#nov#1,0#100,0#2#failure#no
20931#30,0#admin.#married#tertiary#no#631,0#no#no#cellular#13#aug#3,0#-1,0#0#unknown#no
34917#33,0#blue-collar#married#primary#no#-457,0#yes#yes#cellular#6#may#1,0#350,0#1#failure#no
9247#30,0#services#married#secondary#no#311,0#yes#yes#unknown#5#jun#4,0#-1,0#0#unknown#no
20586#31,0#management#single#tertiary#no#350,0#yes#no#cellular#12#aug#2,0#-1,0#0#unknown#no
42208#32,0#management#single#tertiary#no#2134,0#no#no#cellular#10#nov#2,0#-1,0#0#unknown#no
40684#67,0#management#married#tertiary#no#405,0#no#no#cellular#7#aug#2,0#-1,0#0#unknown#yes
43691#34,0#technician#single#tertiary#no#2838,0#yes#no#cellular#13#may#3,0#-1,0#0#unknown#yes
8560#23,0#services#single#secondary#no#425,0#yes#no#unknown#3#jun#1,0#-1,0#0#unknown#yes
30488#28,0#technician#single#secondary#no#1405,0#yes#no#cellular#5#feb#3,0#-1,0#0#unknown#no
19050#59,0#management#single#tertiary#no#7668,0#no#no#cellular#5#aug#1,0#-1,0#0#unknown#no
27131#57,0#management#married#tertiary#no#17118,0#yes#no#cellular#21#nov#1,0#-1,0#0#unknown#no
13163#33,0#blue-collar#married#tertiary#no#870,0#no#yes#cellular#8#jul#3,0#-1,0#0#unknown#no
19562#56,0#management#married#tertiary#no#79,0#no#no#cellular#7#aug#2,0#-1,0#0#unknown#no
26252##self-employed#single#secondary#no#1295,0#no#no#cellular#20#nov#1,0#-1,0#0#unknown#yes
12251##admin.#single#primary#no#-122,0#yes#no#unknown#23#jun#3,0#-1,0#0#unknown#yes
38514#30,0#blue-collar#married#secondary#no#3,0#no#no#cellular#15#may#2,0#297,0#1#failure#no
37057#37,0#services#married#secondary#no#393,0#yes#yes#cellular#13#may#1,0#357,0#1#failure#no
4406#37,0#management#divorced#tertiary#no#42,0#yes#yes#unknown#20#may#4,0#-1,0#0#unknown#no
53#32,0#management#married#tertiary#no#0,0#yes#no#unknown#5#may#1,0#-1,0#0#unknown#no
32551#33,0#admin.#married#secondary#no#7,0#yes#no#cellular#17#apr#1,0#148,0#1#failure#no
4877#33,0#blue-collar#married#secondary#no#467,0#yes#no#unknown#21#may#2,0#-1,0#0#unknown#no
44342#29,0#management#single#tertiary#no#0,0#no#no#cellular#29#jul#6,0#-1,0#0#unknown#no
11611#29,0#admin.#single#secondary#no#732,0#yes#no#unknown#19#jun#1,0#-1,0#0#unknown#no
43556#77,0#retired#married#unknown#no#992,0#no#no#cellular#27#apr#2,0#182,0#2#failure#no
19490#47,0#admin.#married#secondary#no#3070,0#no#no#cellular#7#aug#4,0#-1,0#0#unknown#yes
29348#30,0#services#single#secondary#no#3485,0#no#no#cellular#2#feb#2,0#-1,0#0#unknown#no
41104#57,0#management#married#secondary#no#139,0#no#no#cellular#17#aug#1,0#-1,0#0#unknown#no
7283#50,0#services#divorced#secondary#no#28,0#yes#yes#unknown#29#may#2,0#-1,0#0#unknown#no
16305#25,0#management#married#tertiary#no#937,0#yes#no#cellular#23#jul#1,0#-1,0#0#unknown#no
6025#32,0#technician#married#tertiary#no#1037,0#yes#no#unknown#26#may#3,0#-1,0#0#unknown#no
6013#28,0#technician#single#secondary#no#576,0#yes#yes#unknown#26#may#4,0#-1,0#0#unknown#no
9458#26,0#admin.#married#secondary#no#1417,0#yes#no#unknown#6#jun#3,0#-1,0#0#unknown#no
433#39,0#blue-collar#married#secondary#no#0,0#yes#no#unknown#6#may#1,0#-1,0#0#unknown#no
37103#35,0#blue-collar#married#secondary#no#1831,0#yes#no#cellular#13#may#2,0#358,0#2#failure#no
20871#32,0#management#single#tertiary#no#90,0#no#no#cellular#13#aug#2,0#-1,0#0#unknown#no
21653#52,0#technician#divorced#tertiary#no#0,0#no#no#cellular#19#aug#2,0#-1,0#0#unknown#no
27320#54,0#entrepreneur#divorced#tertiary#no#5784,0#no#no#cellular#21#nov#5,0#-1,0#0#unknown#no
10335#53,0#self-employed#married#tertiary#no#4397,0#yes#no#unknown#12#jun#1,0#-1,0#0#unknown#no
34738##management#married#tertiary#no#0,0#yes#no#cellular#6#may#1,0#13,0#12#success#no
2680#50,0#management#single#tertiary#no#1300,0#yes#no#unknown#13#may#2,0#-1,0#0#unknown#no
30449#38,0#technician#divorced#tertiary#no#915,0#yes#no#cellular#5#feb#7,0#266,0#4#other#no
6797#46,0#blue-collar#divorced#secondary#no#1815,0#yes#no#unknown#28#may#4,0#-1,0#0#unknown#no
5642#40,0#services#married#primary#no#33,0#no#no#unknown#26#may#3,0#-1,0#0#unknown#no
30676#52,0#unemployed#married#tertiary#no#1595,0#no#no#cellular#6#feb#1,0#-1,0#0#unknown#no
3882#27,0#technician#single#tertiary#no#3706,0#yes#no#unknown#16#may#1,0#-1,0#0#unknown#yes
30206#59,0#unemployed#married#primary#no#19102,0#no#no#cellular#5#feb#1,0#-1,0#0#unknown#no
44736#36,0#management#married#tertiary#no#2161,0#no#no#cellular#8#sep#2,0#183,0#5#success#yes
38399#33,0#management#married#primary#no#142,0#yes#no#cellular#15#may#1,0#368,0#1#failure#no
1411#29,0#services#single#secondary#no#2,0#no#no#unknown#8#may#1,0#-1,0#0#unknown#no
8664#58,0#management#divorced#tertiary#no#50,0#yes#no#unknown#3#jun#4,0#-1,0#0#unknown#no
38044#40,0#blue-collar#married#primary#no#2805,0#yes#no#cellular#14#may#6,0#353,0#23#failure#no
37385#27,0#services#single#secondary#no#223,0#yes#yes#cellular#13#may#2,0#-1,0#0#unknown#no
451#50,0#technician#married#secondary#no#797,0#yes#no#unknown#6#may#1,0#-1,0#0#unknown#no
6617#59,0#management#single#tertiary#no#68,0#yes#no#unknown#28#may#2,0#-1,0#0#unknown#no
25145#57,0#technician#married#secondary#no#6362,0#yes#yes#cellular#18#nov#1,0#-1,0#0#unknown#no
25662#43,0#management#married#tertiary#no#1429,0#yes#no#cellular#19#nov#1,0#198,0#2#other#yes
44168#70,0#retired#divorced#primary#no#482,0#no#no#telephone#14#jul#1,0#181,0#3#success#yes
14843#36,0#management#single#tertiary#no#0,0#yes#no#cellular#16#jul#2,0#-1,0#0#unknown#no
40227#24,0#management#single#tertiary#no#1506,0#no#no#cellular#12#jun#2,0#95,0#4#success#yes
31856#35,0#unemployed#married#tertiary#no#1057,0#yes#no#cellular#8#apr#2,0#-1,0#0#unknown#no
37545#42,0#blue-collar#married#primary#no#1398,0#no#no#telephone#14#may#6,0#-1,0#0#unknown#no
40387#54,0#management#married#tertiary#no#1464,0#no#no#cellular#30#jun#1,0#-1,0#0#unknown#yes
33226#35,0#blue-collar#married#secondary#no#0,0#yes#yes#cellular#20#apr#3,0#-1,0#0#unknown#no
2109#31,0#management#single#tertiary#no#4509,0#yes#no#unknown#12#may#3,0#-1,0#0#unknown#no
657#41,0#services#married#unknown#no#4,0#no#no#unknown#6#may#2,0#-1,0#0#unknown#no
38131#30,0#technician#single#secondary#yes#28,0#yes#no#cellular#15#may#5,0#301,0#1#failure#no
35937#39,0#services#married#secondary#no#0,0#yes#no#cellular#8#may#1,0#-1,0#0#unknown#no
12664##blue-collar#married#secondary#no#1329,0#yes#yes#telephone#4#jul#2,0#-1,0#0#unknown#no
31213#45,0#admin.#married#secondary#no#129,0#yes#no#cellular#2#mar#1,0#-1,0#0#unknown#no
36725#38,0#admin.#single#secondary#no#883,0#yes#no#cellular#12#may#1,0#327,0#9#other#no
13244#29,0#services#single#secondary#no#9,0#no#yes#cellular#8#jul#2,0#-1,0#0#unknown#no
12703#41,0#housemaid#married#primary#no#1618,0#yes#no#cellular#7#jul#2,0#-1,0#0#unknown#no
11204##self-employed#married#secondary#no#2235,0#no#no#unknown#18#jun#1,0#-1,0#0#unknown#no
3872#45,0#blue-collar#single#secondary#no#636,0#yes#no#unknown#16#may#4,0#-1,0#0#unknown#no
30915#38,0#management#married#secondary#no#844,0#no#no#cellular#9#feb#7,0#-1,0#0#unknown#no
10769#38,0#technician#married#secondary#no#403,0#yes#yes#unknown#17#jun#8,0#-1,0#0#unknown#no
24902#37,0#management#married#tertiary#no#3770,0#yes#no#cellular#18#nov#1,0#110,0#4#failure#no
3638#52,0#technician#divorced#secondary#no#409,0#yes#no#unknown#15#may#7,0#-1,0#0#unknown#no
18885#51,0#housemaid#divorced#tertiary#no#1613,0#no#no#cellular#4#aug#1,0#-1,0#0#unknown#yes
44671#27,0#student#single#tertiary#no#5169,0#yes#no#cellular#3#sep#1,0#466,0#3#success#yes
17735#35,0#blue-collar#married#primary#no#-312,0#yes#yes#telephone#29#jul#3,0#-1,0#0#unknown#no
16215#36,0#technician#divorced#tertiary#no#119,0#no#no#cellular#23#jul#8,0#-1,0#0#unknown#no
29706#53,0#blue-collar#married#primary#no#-211,0#yes#yes#cellular#3#feb#6,0#251,0#2#failure#no
37037#38,0#services#married#secondary#no#7208,0#yes#no#cellular#13#may#1,0#-1,0#0#unknown#no
35307#59,0#admin.#single#secondary#no#2166,0#yes#yes#cellular#7#may#1,0#-1,0#0#unknown#yes
3746#34,0#entrepreneur#married#tertiary#no#355,0#yes#no#unknown#16#may#1,0#-1,0#0#unknown#no
36526#27,0#blue-collar#single#secondary#no#541,0#yes#no#cellular#12#may#1,0#-1,0#0#unknown#no
44425#33,0#technician#married#secondary#no#180,0#no#no#cellular#4#aug#1,0#435,0#3#failure#yes
18029#53,0#self-employed#married#primary#no#4576,0#no#no#telephone#30#jul#2,0#-1,0#0#unknown#no
90#57,0#retired#married#secondary#no#486,0#yes#no#unknown#5#may#2,0#-1,0#0#unknown#no
42283#36,0#technician#single#secondary#no#376,0#no#no#cellular#13#nov#1,0#92,0#1#success#yes
600#31,0#self-employed#married#secondary#no#0,0#yes#no#unknown#6#may#5,0#-1,0#0#unknown#no
34743#35,0#blue-collar#married#secondary#no#5417,0#yes#no#cellular#6#may#1,0#-1,0#0#unknown#no
1517#40,0#admin.#single#secondary#no#118,0#yes#no#unknown#8#may#3,0#-1,0#0#unknown#no
12899#49,0#blue-collar#married#primary#yes#-354,0#no#yes#cellular#7#jul#1,0#-1,0#0#unknown#no
28916#32,0#management#married#tertiary#no#71,0#no#no#cellular#2#feb#1,0#-1,0#0#unknown#no
12717##technician#married#primary#no#486,0#no#no#telephone#7#jul#5,0#-1,0#0#unknown#no
20898#35,0#management#married#tertiary#no#1036,0#no#no#cellular#13#aug#1,0#-1,0#0#unknown#no
42782#31,0#housemaid#single#tertiary#no#2017,0#yes#no#cellular#28#jan#1,0#286,0#5#failure#no
14420##retired#divorced#primary#no#308,0#yes#no#cellular#14#jul#3,0#-1,0#0#unknown#no
30870#34,0#admin.#single#secondary#no#1,0#yes#no#cellular#9#feb#7,0#280,0#1#other#no
37656#43,0#blue-collar#divorced#secondary#no#688,0#yes#no#cellular#14#may#3,0#-1,0#0#unknown#no
